Date,StockCode,Type,Quantity,Price,Rate,TotalPrice,Description
2025-12-19 14:12,81660,매수,1,44300,0.00%,44300,리밸런싱 추가 매수
2025-12-19 14:12,9830,매수,2,26950,0.00%,53900,리밸런싱 추가 매수
2025-12-19 14:12,47050,매수,1,50600,0.00%,50600,리밸런싱 추가 매수
2025-12-19 14:15,323410,전량매도,5,21550,0.23%,107750,AI 점수 미달(17.12점) - 확정 매도
2025-12-19 14:15,10140,비중축소,3,25050,0.00%,75150,리밸런싱 비중 축소
2025-12-19 14:15,15760,매수,1,48900,0.00%,48900,리밸런싱 추가 매수
2025-12-19 14:17,3550,비중축소,1,81300,0.00%,81300,리밸런싱 비중 축소
2025-12-19 14:17,10140,비중축소,2,25100,0.20%,50200,리밸런싱 비중 축소
2025-12-19 14:17,46890,전량매도,10,6320,0.16%,63200,AI 점수 미달(19.2점) - 확정 매도
2025-12-19 14:18,323410,비중축소,2,21500,0.00%,43000,리밸런싱 비중 축소
2025-12-19 14:20,3550,비중축소,1,81400,0.12%,81400,리밸런싱 비중 축소
2025-12-19 14:20,10140,비중축소,3,25100,0.20%,75300,리밸런싱 비중 축소
2025-12-19 14:20,9830,비중축소,2,27050,0.19%,54100,리밸런싱 비중 축소
2025-12-19 14:20,66575,매수,1,50000,0.00%,50000,리밸런싱 추가 매수
2025-12-19 14:23,3550,비중축소,1,81400,0.12%,81400,리밸런싱 비중 축소
2025-12-19 14:23,9830,비중축소,2,27050,0.19%,54100,리밸런싱 비중 축소
2025-12-19 14:23,323410,비중축소,2,21500,0.00%,43000,리밸런싱 비중 축소
2025-12-19 14:23,10140,비중축소,2,25100,0.20%,50200,리밸런싱 비중 축소
2025-12-19 14:26,35420,전량매도,1,234500,0.21%,234500,AI 점수 미달(37.95점) - 확정 매도
2025-12-19 14:26,3550,비중축소,1,81400,0.12%,81400,리밸런싱 비중 축소
2025-12-19 14:26,310200,매수,17,3540,0.00%,60180,리밸런싱 추가 매수
2025-12-19 14:28,3550,비중축소,1,81400,0.12%,81400,리밸런싱 비중 축소
2025-12-19 14:28,10140,비중축소,2,25150,0.40%,50300,리밸런싱 비중 축소
2025-12-19 14:28,9830,비중축소,2,27100,0.37%,54200,리밸런싱 비중 축소
2025-12-19 14:28,323410,비중축소,2,21500,0.00%,43000,리밸런싱 비중 축소
2025-12-19 14:31,35420,전량매도,1,234500,0.21%,234500,AI 점수 미달(36.56점) - 확정 매도
2025-12-19 14:31,3550,비중축소,1,81600,0.37%,81600,리밸런싱 비중 축소
2025-12-19 14:31,10140,비중축소,2,25150,0.40%,50300,리밸런싱 비중 축소
2025-12-19 14:31,323410,비중축소,2,21500,0.00%,43000,리밸런싱 비중 축소
2025-12-19 14:33,3550,비중축소,1,81300,0.00%,81300,리밸런싱 비중 축소
2025-12-19 14:33,9830,비중축소,2,27100,0.37%,54200,리밸런싱 비중 축소
2025-12-19 14:44,3550,비중축소,1,81500,0.25%,81500,리밸런싱 비중 축소
2025-12-19 14:44,323410,비중축소,4,21550,0.23%,86200,리밸런싱 비중 축소
